권역,경보단계,일자,물질명
경기동부,주의보,20240329,미세먼지
경기남부,주의보,20240329,미세먼지
경기북부,주의보,20240329,미세먼지
경기중부,주의보,20240329,미세먼지
경기북부,경보,20240329,미세먼지
경기동부,경보,20240329,미세먼지
경기남부,경보,20240329,미세먼지
경기중부,경보,20240329,미세먼지
경기남부,주의보,20240329,미세먼지
경기동부,주의보,20240329,미세먼지
경기중부,주의보,20240329,미세먼지
경기북부,주의보,20240329,미세먼지
경기북부,주의보,20240317,미세먼지
경기북부,경보,20240317,미세먼지
경기남부,주의보,20240317,미세먼지
경기동부,주의보,20240317,미세먼지
경기북부,주의보,20240317,미세먼지
경기중부,주의보,20240317,미세먼지
경기북부,주의보,20231123,미세먼지
경기동부,주의보,20231123,미세먼지
경기남부,주의보,20231123,미세먼지
경기중부,주의보,20231123,미세먼지
경기동부,주의보,20230522,미세먼지
경기북부,주의보,20230522,미세먼지
경기남부,주의보,20230522,미세먼지
경기중부,주의보,20230522,미세먼지
경기중부,주의보,20230523,미세먼지
경기동부,주의보,20230521,미세먼지
경기동부,주의보,20230522,미세먼지
경기북부,주의보,20230521,미세먼지
경기남부,주의보,20230422,미세먼지
경기중부,주의보,20230416,미세먼지
경기중부,주의보,20230417,미세먼지
경기남부,주의보,20230416,미세먼지
경기남부,주의보,20230417,미세먼지
경기남부,주의보,20230414,미세먼지
경기중부,주의보,20230414,미세먼지
경기동부,주의보,20230413,미세먼지
경기동부,주의보,20230414,미세먼지
경기북부,주의보,20230413,미세먼지
경기북부,주의보,20230414,미세먼지
경기남부,경보,20230412,미세먼지
경기남부,경보,20230413,미세먼지
경기남부,경보,20230414,미세먼지
경기동부,경보,20230412,미세먼지
경기동부,경보,20230413,미세먼지
경기중부,경보,20230412,미세먼지
경기중부,경보,20230413,미세먼지
경기중부,경보,20230414,미세먼지
경기남부,주의보,20230412,미세먼지
경기중부,주의보,20230412,미세먼지
경기동부,주의보,20230412,미세먼지
경기북부,경보,20230412,미세먼지
경기북부,경보,20230413,미세먼지
경기북부,주의보,20230411,미세먼지
경기북부,주의보,20230412,미세먼지
경기동부,주의보,20230407,미세먼지
경기남부,주의보,20230407,미세먼지
경기중부,주의보,20230406,미세먼지
경기중부,주의보,20230407,미세먼지
