물질명,권역,경보단계,일자
초미세먼지,서울,주의보,20231206
초미세먼지,서울,주의보,20231207
초미세먼지,서울,주의보,20231123
초미세먼지,서울,주의보,20230406
초미세먼지,서울,주의보,20230407
초미세먼지,서울,주의보,20230319
초미세먼지,서울,주의보,20230320
초미세먼지,서울,주의보,20230311
초미세먼지,서울,주의보,20230218
초미세먼지,서울,주의보,20230219
초미세먼지,서울,주의보,20230208
초미세먼지,서울,주의보,20230106
초미세먼지,서울,주의보,20230107
초미세먼지,서울,주의보,20230108
초미세먼지,서울,주의보,20230109
초미세먼지,서울,주의보,20240211
초미세먼지,서울,주의보,20240212
초미세먼지,서울,주의보,20240201
초미세먼지,서울,주의보,20240105
초미세먼지,서울,주의보,20240106
초미세먼지,경기남부,주의보,20240303
초미세먼지,경기남부,주의보,20240304
초미세먼지,경기남부,주의보,20240305
초미세먼지,경기남부,주의보,20240211
초미세먼지,경기남부,주의보,20240212
초미세먼지,경기남부,주의보,20240201
초미세먼지,경기남부,주의보,20240202
초미세먼지,경기동부,주의보,20240201
초미세먼지,경기중부,주의보,20240201
초미세먼지,경기중부,주의보,20240202
초미세먼지,경기중부,주의보,20240203
초미세먼지,경기북부,주의보,20240201
초미세먼지,경기중부,주의보,20240111
초미세먼지,경기남부,주의보,20240111
초미세먼지,경기남부,주의보,20240112
초미세먼지,경기북부,주의보,20240105
초미세먼지,경기북부,주의보,20240106
초미세먼지,경기남부,주의보,20240105
초미세먼지,경기남부,주의보,20240106
초미세먼지,경기중부,주의보,20240105
초미세먼지,경기중부,주의보,20240106
초미세먼지,경기남부,주의보,20231227
초미세먼지,경기남부,주의보,20231228
초미세먼지,경기중부,주의보,20231227
초미세먼지,경기중부,주의보,20231228
초미세먼지,경기중부,주의보,20231206
초미세먼지,경기중부,주의보,20231207
초미세먼지,경기남부,주의보,20231206
초미세먼지,경기남부,주의보,20231207
초미세먼지,경기동부,주의보,20231123
초미세먼지,경기북부,주의보,20231123
초미세먼지,경기남부,주의보,20231123
초미세먼지,경기중부,주의보,20231123
초미세먼지,경기남부,주의보,20230407
초미세먼지,경기남부,경보,20230407
초미세먼지,경기동부,주의보,20230406
초미세먼지,경기동부,주의보,20230407
초미세먼지,경기북부,주의보,20230406
초미세먼지,경기북부,주의보,20230407
초미세먼지,경기남부,주의보,20230406
초미세먼지,경기남부,주의보,20230407
초미세먼지,경기중부,주의보,20230406
초미세먼지,경기중부,주의보,20230407
초미세먼지,인천,주의보,20240201
초미세먼지,인천,주의보,20240105
초미세먼지,인천,주의보,20240106
초미세먼지,인천,주의보,20231123
초미세먼지,인천,주의보,20230406
초미세먼지,인천,주의보,20230407
