일자,행정구역,폭염여부(O/X)
20230501,인천,X
20230502,인천,X
20230503,인천,X
20230504,인천,X
20230505,인천,X
20230506,인천,X
20230507,인천,X
20230508,인천,X
20230509,인천,X
20230510,인천,X
20230511,인천,X
20230512,인천,X
20230513,인천,X
20230514,인천,X
20230515,인천,X
20230516,인천,X
20230517,인천,X
20230518,인천,X
20230519,인천,X
20230520,인천,X
20230521,인천,X
20230522,인천,X
20230523,인천,X
20230524,인천,X
20230525,인천,X
20230526,인천,X
20230527,인천,X
20230528,인천,X
20230529,인천,X
20230530,인천,X
20230531,인천,X
20230601,인천,X
20230602,인천,X
20230603,인천,X
20230604,인천,X
20230605,인천,X
20230606,인천,X
20230607,인천,X
20230608,인천,X
20230609,인천,X
20230610,인천,X
20230611,인천,X
20230612,인천,X
20230613,인천,X
20230614,인천,X
20230615,인천,X
20230616,인천,X
20230617,인천,X
20230618,인천,X
20230619,인천,X
20230620,인천,X
20230621,인천,X
20230622,인천,X
20230623,인천,X
20230624,인천,X
20230625,인천,X
20230626,인천,X
20230627,인천,X
20230628,인천,X
20230629,인천,X
20230630,인천,X
20230701,인천,X
20230702,인천,X
20230703,인천,X
20230704,인천,X
20230705,인천,X
20230706,인천,X
20230707,인천,X
20230708,인천,X
20230709,인천,X
20230710,인천,X
20230711,인천,X
20230712,인천,X
20230713,인천,X
20230714,인천,X
20230715,인천,X
20230716,인천,X
20230717,인천,X
20230718,인천,X
20230719,인천,X
20230720,인천,X
20230721,인천,X
20230722,인천,X
20230723,인천,X
20230724,인천,X
20230725,인천,X
20230726,인천,X
20230727,인천,X
20230728,인천,X
20230729,인천,X
20230730,인천,O
20230731,인천,X
20230801,인천,X
20230802,인천,X
20230803,인천,X
20230804,인천,X
20230805,인천,X
20230806,인천,X
20230807,인천,O
20230808,인천,O
20230809,인천,X
20230810,인천,X
20230811,인천,X
20230812,인천,X
20230813,인천,X
20230814,인천,X
20230815,인천,X
20230816,인천,X
20230817,인천,X
20230818,인천,X
20230819,인천,X
20230820,인천,X
20230821,인천,X
20230822,인천,X
20230823,인천,X
20230824,인천,X
20230825,인천,X
20230826,인천,X
20230827,인천,X
20230828,인천,X
20230829,인천,X
20230830,인천,X
20230831,인천,X
20230901,인천,X
20230902,인천,X
20230903,인천,X
20230904,인천,X
20230905,인천,X
20230906,인천,X
20230907,인천,X
20230908,인천,X
20230909,인천,X
20230910,인천,X
20230911,인천,X
20230912,인천,X
20230913,인천,X
20230914,인천,X
20230915,인천,X
20230916,인천,X
20230917,인천,X
20230918,인천,X
20230919,인천,X
20230920,인천,X
20230921,인천,X
20230922,인천,X
20230923,인천,X
20230924,인천,X
20230925,인천,X
20230926,인천,X
20230927,인천,X
20230928,인천,X
20230929,인천,X
20230930,인천,X
